column,dtype,n_missing,n_unique
ISIS,int64,0,1026
Sequence,str,0,688
Modification,str,0,2
Location,str,0,20
Chemical_Pattern,str,0,20
Linkage,str,0,2
Linkage_Location,str,0,11
Smiles,str,0,1026
Inhibition(%),int64,0,99
seq_length,int64,0,4
row_id,int64,0,1026
seq_length_original,int64,0,4
seq_length_recalc,int64,0,4
chem_pattern_length,int64,0,4
valid_sequence,bool,0,1
valid_chemical_pattern,bool,0,1
lengths_match,bool,0,1
n_linkages,int64,0,4
n_PS,int64,0,7
n_PO,int64,0,4
n_unknown_linkage,int64,0,1
expected_n_linkages,int64,0,4
linkage_count_valid,bool,0,1
n_MOE,int64,0,8
n_cEt,int64,0,4
n_DNA,int64,0,4
n_modified_sugar,int64,0,5
frac_MOE,float64,0,11
frac_cEt,float64,0,5
frac_DNA,float64,0,7
frac_modified_sugar,float64,0,7
chem_count_sum_valid,bool,0,1
