column,dtype,n_missing,n_unique
ISIS,int64,0,1026
Sequence,str,0,688
Modification,str,0,2
Location,str,0,20
Chemical_Pattern,str,0,20
Linkage,str,0,2
Linkage_Location,str,0,11
Smiles,str,0,1026
Inhibition(%),int64,0,99
seq_length,int64,0,4
row_id,int64,0,1026
seq_length_original,int64,0,4
seq_length_recalc,int64,0,4
chem_pattern_length,int64,0,4
valid_sequence,bool,0,1
valid_chemical_pattern,bool,0,1
lengths_match,bool,0,1
n_linkages,int64,0,4
n_PS,int64,0,7
n_PO,int64,0,4
n_unknown_linkage,int64,0,1
expected_n_linkages,int64,0,4
linkage_count_valid,bool,0,1
n_MOE,int64,0,8
n_cEt,int64,0,4
n_DNA,int64,0,4
n_modified_sugar,int64,0,5
frac_MOE,float64,0,11
frac_cEt,float64,0,5
frac_DNA,float64,0,7
frac_modified_sugar,float64,0,7
chem_count_sum_valid,bool,0,1
inhibition_pct,int64,0,99
inhibition_rank_first,float64,0,1026
inhibition_group_4_equal_count,str,0,4
split_2way,str,0,2
transcript_source,str,0,1
ncbi_uid,int64,0,1
transcript_id,str,0,1
transcript_description,str,0,1
transcript_length,int64,0,1
n_transcript_hits,int64,0,2
target_start_0based,float64,44,536
target_end_0based_exclusive,float64,44,539
target_start_1based,float64,44,536
target_end_1based_inclusive,float64,44,539
matched_transcript_sequence,str,44,644
mapping_orientation,str,0,2
transcript_mapping_attempted,bool,0,1
gc_fraction,float64,0,37
n_A,int64,0,10
n_C,int64,0,13
n_G,int64,0,9
n_T,int64,0,13
frac_A,float64,0,26
frac_C,float64,0,34
frac_G,float64,0,23
frac_T,float64,0,34
longest_homopolymer,int64,0,5
has_homopolymer_4plus,int64,0,2
has_homopolymer_5plus,int64,0,2
max_gc_stretch,int64,0,7
base_count_sum_valid,bool,0,1
longest_DNA_gap,int64,0,4
gap_start_0based,int64,0,4
gap_end_0based_exclusive,int64,0,5
gap_length,int64,0,4
gap_sequence,str,0,944
flank5_length,int64,0,4
flank3_length,int64,0,4
flank_asymmetry_5minus3,int64,0,5
gap_length_valid,bool,0,1
gap_3mer_AAA,int64,0,4
gap_3mer_AAC,int64,0,3
gap_3mer_AAG,int64,0,2
gap_3mer_AAT,int64,0,3
gap_3mer_ACA,int64,0,3
gap_3mer_ACC,int64,0,3
gap_3mer_ACG,int64,0,3
gap_3mer_ACT,int64,0,3
gap_3mer_AGA,int64,0,3
gap_3mer_AGC,int64,0,3
gap_3mer_AGG,int64,0,2
gap_3mer_AGT,int64,0,3
gap_3mer_ATA,int64,0,3
gap_3mer_ATC,int64,0,3
gap_3mer_ATG,int64,0,3
gap_3mer_ATT,int64,0,2
gap_3mer_CAA,int64,0,3
gap_3mer_CAC,int64,0,4
gap_3mer_CAG,int64,0,3
gap_3mer_CAT,int64,0,2
gap_3mer_CCA,int64,0,3
gap_3mer_CCC,int64,0,3
gap_3mer_CCG,int64,0,3
gap_3mer_CCT,int64,0,2
gap_3mer_CGA,int64,0,2
gap_3mer_CGC,int64,0,4
gap_3mer_CGG,int64,0,2
gap_3mer_CGT,int64,0,2
gap_3mer_CTA,int64,0,3
gap_3mer_CTC,int64,0,3
gap_3mer_CTG,int64,0,3
gap_3mer_CTT,int64,0,2
gap_3mer_GAA,int64,0,2
gap_3mer_GAC,int64,0,3
gap_3mer_GAG,int64,0,4
gap_3mer_GAT,int64,0,3
gap_3mer_GCA,int64,0,3
gap_3mer_GCC,int64,0,3
gap_3mer_GCG,int64,0,2
gap_3mer_GCT,int64,0,2
gap_3mer_GGA,int64,0,3
gap_3mer_GGC,int64,0,2
gap_3mer_GGG,int64,0,2
gap_3mer_GGT,int64,0,3
gap_3mer_GTA,int64,0,2
gap_3mer_GTC,int64,0,3
gap_3mer_GTG,int64,0,3
gap_3mer_GTT,int64,0,2
gap_3mer_TAA,int64,0,3
gap_3mer_TAC,int64,0,3
gap_3mer_TAG,int64,0,2
gap_3mer_TAT,int64,0,2
gap_3mer_TCA,int64,0,3
gap_3mer_TCC,int64,0,2
gap_3mer_TCG,int64,0,2
gap_3mer_TCT,int64,0,3
gap_3mer_TGA,int64,0,3
gap_3mer_TGC,int64,0,2
gap_3mer_TGG,int64,0,2
gap_3mer_TGT,int64,0,2
gap_3mer_TTA,int64,0,3
gap_3mer_TTC,int64,0,3
gap_3mer_TTG,int64,0,3
gap_3mer_TTT,int64,0,4
gap_3mer_total_count,int64,0,4
gap_3mer_expected_count,int64,0,4
gap_3mer_count_valid,bool,0,1
target_midpoint_1based,float64,44,619
target_relative_start,float64,44,536
target_relative_end,float64,44,539
target_relative_midpoint,float64,44,619
target_has_exact_refseq_match,bool,0,2
target_mapping_unique,bool,0,2
target_mapping_multiple,bool,0,1
target_context_5nt_each_side,str,44,643
target_context_10nt_each_side,str,44,643
target_context_20nt_each_side,str,44,640
basic_DNA_Tm_NN_full_sequence,float64,0,654
basic_DNA_Tm_NN_gap_sequence,float64,0,818
canonical_smiles,str,0,1026
rdkit_valid_smiles,bool,0,1
rdkit_mol_wt,float64,0,922
rdkit_heavy_atom_count,int64,0,80
rdkit_num_atoms,int64,0,80
rdkit_num_bonds,int64,0,99
rdkit_num_rings,int64,0,18
rdkit_tpsa,float64,0,824
rdkit_num_h_donors,int64,0,13
rdkit_num_h_acceptors,int64,0,51
rdkit_formal_charge,int64,0,4
