row_id,ISIS,linkage_position_1based,between_nt_1based,linkage,is_PS,is_PO,is_unknown_linkage
0,146143,1,1-2,PS,True,False,False
0,146143,2,2-3,PS,True,False,False
0,146143,3,3-4,PS,True,False,False
0,146143,4,4-5,PS,True,False,False
0,146143,5,5-6,PS,True,False,False
0,146143,6,6-7,PS,True,False,False
0,146143,7,7-8,PS,True,False,False
0,146143,8,8-9,PS,True,False,False
0,146143,9,9-10,PS,True,False,False
0,146143,10,10-11,PS,True,False,False
0,146143,11,11-12,PS,True,False,False
0,146143,12,12-13,PS,True,False,False
0,146143,13,13-14,PS,True,False,False
0,146143,14,14-15,PS,True,False,False
0,146143,15,15-16,PS,True,False,False
0,146143,16,16-17,PS,True,False,False
0,146143,17,17-18,PS,True,False,False
0,146143,18,18-19,PS,True,False,False
0,146143,19,19-20,PS,True,False,False
1,150438,1,1-2,PS,True,False,False
1,150438,2,2-3,PS,True,False,False
1,150438,3,3-4,PS,True,False,False
1,150438,4,4-5,PS,True,False,False
1,150438,5,5-6,PS,True,False,False
1,150438,6,6-7,PS,True,False,False
1,150438,7,7-8,PS,True,False,False
1,150438,8,8-9,PS,True,False,False
1,150438,9,9-10,PS,True,False,False
1,150438,10,10-11,PS,True,False,False
1,150438,11,11-12,PS,True,False,False
1,150438,12,12-13,PS,True,False,False
1,150438,13,13-14,PS,True,False,False
1,150438,14,14-15,PS,True,False,False
1,150438,15,15-16,PS,True,False,False
1,150438,16,16-17,PS,True,False,False
1,150438,17,17-18,PS,True,False,False
1,150438,18,18-19,PS,True,False,False
1,150438,19,19-20,PS,True,False,False
2,150439,1,1-2,PS,True,False,False
2,150439,2,2-3,PS,True,False,False
2,150439,3,3-4,PS,True,False,False
2,150439,4,4-5,PS,True,False,False
2,150439,5,5-6,PS,True,False,False
2,150439,6,6-7,PS,True,False,False
2,150439,7,7-8,PS,True,False,False
2,150439,8,8-9,PS,True,False,False
2,150439,9,9-10,PS,True,False,False
2,150439,10,10-11,PS,True,False,False
2,150439,11,11-12,PS,True,False,False
2,150439,12,12-13,PS,True,False,False
2,150439,13,13-14,PS,True,False,False
2,150439,14,14-15,PS,True,False,False
2,150439,15,15-16,PS,True,False,False
2,150439,16,16-17,PS,True,False,False
2,150439,17,17-18,PS,True,False,False
2,150439,18,18-19,PS,True,False,False
2,150439,19,19-20,PS,True,False,False
3,150440,1,1-2,PS,True,False,False
3,150440,2,2-3,PS,True,False,False
3,150440,3,3-4,PS,True,False,False
3,150440,4,4-5,PS,True,False,False
3,150440,5,5-6,PS,True,False,False
3,150440,6,6-7,PS,True,False,False
